Id;paqueteId;nombre;email;mensaje;fecha;whatsapp
1;1;ff;f@gmail.com;ff;2025-07-31 18;NULL
2;3;fg;f@gmail.com;segunda consulta;2025-07-31 18;NULL
3;2;ff;f@gmail.com;mensaje 3 paquete 2;2025-07-31 18;NULL
4;2;ff;f@gmail.com;test 3;2025-07-31 19;NULL
5;1;ff;;test whats app;2025-07-31 22;NULL
6;3;ff;;bogota paquete;2025-07-31 22;NULL
7;1;ff;;test4;2025-08-01 00;5491112345678
8;2;ff;;test1000;2025-08-01 00;5491112345678
9;1;ff;;colores;2025-08-01 00;5491112345678
10;1;fff;;test 999;2025-08-01 11;5491112345678
11;1;s;;ss;2025-08-01 12;5491112345678
12;3;ff;;re generacion;2025-08-01 19;5491112345678
13;1;fjb;franja20022@yahoo.com;hola nueva;2025-08-05 18;11572222222
14;2;ff;franja20022@yahoo.com;aaa;2025-08-06 16;56789
15;1;ff;;prueba con sqlite en render ;2025-08-07 17;5491112345678
